"bloco","bairro","regiao","data","data_relativa","concentracao","desfile","final","local_da_concentracao","percurso","publico_estimado","ano_do_primeiro_desfile","label","lon","lat"
"Banda da Praça Afonso Pena","Tijuca","Tijuca e Adj",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"praca afonso pena rio de janeiro","Praça Afonso Pena, Rua Professor Satamini, Rua São Francisco Xavier, Largo da 2ª Feira, Rua Haddock Lobo, Rua Campos Sales e Praca Afonso Pena",1000,1996,"Bloco: Banda da Praça Afonso Pena - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 15:00:00",-43.2181562,-22.9180632
"Banda da Praia da Bica","Ilha do Governador","Zona Norte 3",2018-02-04,"Sábado - 1- semanas antes do Carnaval",1899-12-31 14:00:00,1899-12-31 14:00:00,1899-12-31 20:00:00,"quiosque piratas praia da bica rio de janeiro","Parado",3000,2001,"Bloco: Banda da Praia da Bica - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 14:00:00",-43.1896087,-22.8217132
"Banda do Arroxo","Copacabana","Zona Sul",2018-02-04,"Domingo de Carnaval",1899-12-31 14:00:00,1899-12-31 15:00:00,1899-12-31 20:00:00,"rua belford roxo com ministro viveiro de castro rio de janeiro","Rua Belford Roxo, Rua Felipe de Oliveira, Av. Pricesa Isabel, Ministro Viveiro de Castro e Belford Roxo",1500,1983,"Bloco: Banda do Arroxo - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 14:00:00",-43.1763039,-22.9639512
"Bigode Esticado","Méier","Zona Norte 2",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 17:00:00,1899-12-31 20:00:00,"rua adriano  rio de janeiro","Rua Adriano 300, Rua Magalhães Couto, Rua Intendente Cunha Menezes e Rua Adriano.",1000,1999,"Bloco: Bigode Esticado - Bairro: Méier - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 14:00:00",-43.288713,-22.899887
"Blocão de Copacabana","Copacabana","Zona Sul",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 09:00:00,1899-12-31 09:00:00,1899-12-31 11:30:00,"posto  de copacabana  sofitel  rio de janeiro","Av Atlantica do Posto 6 ao posto 5",1000,2004,"Bloco: Blocão de Copacabana - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 09:00:00",-43.1918738,-22.9871695
"Bloco da Chaleira do Vidigal","Leblon","Zona Sul",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 15:00:00,1899-12-31 18:00:00,"av  delfim moreira com jardim de alah rio de janeiro","Av. Delfim Moreira com Jardim de Alah até o final da Avenida. (Posto 12)",700,1995,"Bloco: Bloco da Chaleira do Vidigal - Bairro: Leblon - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 14:00:00",-43.2157862,-22.9835506
"Bloco da Preta","Centro","Centro",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"av  presidente antonio carlos  rio de janeiro","Segue pela Av. Pres. Antonio Carlos até o Ministerio da Fazenda.",5e+05,2010,"Bloco: Bloco da Preta - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 08:00:00",NA,NA
"Bloco das Cacheadas","Tijuca","Tijuca e Adj",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 10:00:00,1899-12-31 11:00:00,1899-12-31 15:00:00,"rua barao de mesquita  rio de janeiro","Rua Barão de Mesquita, Rua General Roca, Rua Desembargador Izidro, e Praça Saens Peña",3000,2008,"Bloco: Bloco das Cacheadas - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 10:00:00",NA,NA
"Bloco Favela","Méier","Zona Norte 2",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 15:00:00,1899-12-31 15:00:00,1899-12-31 20:00:00,"praca agripino grieco rio de janeiro","Parado",500,2018,"Bloco: Bloco Favela - Bairro: Méier - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 15:00:00",-43.2798108,-22.9016983
"Bloco Tapa na Peteca","Bonsucesso","Zona Norte 3",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 17:00:00,1899-12-31 20:00:00,"r  joao araujo rio de janeiro","Concentração na Rua João Araújo S/N em frente a Associação dos moradores, segue em direção a rua principal, vira a direita na rua Teixeira Ribeiro, segue até o número 650",2000,2008,"Bloco: Bloco Tapa na Peteca - Bairro: Bonsucesso - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 14:00:00",-43.2439268,-22.8523877
"Boka de Espuma","Botafogo","Zona Sul",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua marques de olinda rio de janeiro","Rua Marquês de Olinda, Rua Muniz Barreto, Rua São Clemente, Rua Bambina e Rua Marquês de Olinda",30000,1984,"Bloco: Boka de Espuma - Bairro: Botafogo - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 16:00:00",-43.1843585,-22.9437421
"Chora Me Liga","Aterro do Flamengo","Zona Sul",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 13:00:00,"aterro do flamengo altura da praca luis de camoes  coreto modernista rio de janeiro","Segue pelo Aterro do Flamengo, com dispersão na Av. Infante Dom Henrique 85 aterro do Flamengo",40000,2009,"Bloco: Chora Me Liga - Bairro: Aterro do Flamengo - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 08:00:00",NA,NA
"Empolga às 9","Ipanema","Zona Sul",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00," rio de janeiro","Parado",2500,2003,"Bloco: Empolga às 9 - Bairro: Ipanema - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 14:00:00",NA,NA
"Escravos da Mauá","Saúde","Centro",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"barao de tefe  entre venezuela e boulevard olimpico  rio de janeiro","Barão de Tefé (entre Venezuela e Boulevard Olímpico), Venezuela, Sacadura Cabral e Barão de Tefé 27",10000,1993,"Bloco: Escravos da Mauá - Bairro: Saúde - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 16:00:00",-43.1810774,-22.8966177
"Eu Choro Curto Mas Rio Comprido","Rio Comprido","Centro",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"rua aristides lobo  rio de janeiro","Rua Aristides Lobo seguindo pela mesma até a Rua Maia de Lacerda, fazendo meia volta e retornando até o ponto de origem.",1000,2009,"Bloco: Eu Choro Curto Mas Rio Comprido - Bairro: Rio Comprido - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 15:00:00",-43.2086806,-22.9205769
"Fala Bobagem","Vila da Penha","Zona Norte 1",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"praca paulo setubal rio de janeiro","Desfile no entorno da Praça Paulo Setúbal",900,2011,"Bloco: Fala Bobagem - Bairro: Vila da Penha - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 14:00:00",-43.3111685,-22.8417858
"Filhos de Ismael","Estácio","Centro",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 20:00:00,"praca compositor ismael silva rio de janeiro","Segue pela Rua Frei Caneca, Rua Visc. De Pirassununga, Rua Salvador de Sá, Rua do Estácio retorno na Rua São Carlos, Rua do Estácio até a origem.",2000,2018,"Bloco: Filhos de Ismael - Bairro: Estácio - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 16:00:00",NA,NA
"Fogo e Paixão","Centro","Centro",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"largo de sao francisco rio de janeiro","Parado",10000,2011,"Bloco: Fogo e Paixão - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 08:00:00",-43.1811144,-22.9052041
"Foliões da ABRACES","Copacabana","Zona Sul",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 09:00:00,1899-12-31 11:00:00,1899-12-31 14:00:00,"constante ramos com domingos ferreira rio de janeiro","Saindo da esquina da Contante Ramos com Domingos Ferreira, andar até orla e seguir Av. Atlântica até o posto 2",1000,2018,"Bloco: Foliões da ABRACES - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 09:00:00",-43.1879907,-22.9742684
"Foliões da Prainha","Saúde","Centro",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 10:00:00,1899-12-31 10:00:00,1899-12-31 16:00:00,"largo sao francisco da prainha rio de janeiro","Parado",500,2014,"Bloco: Foliões da Prainha - Bairro: Saúde - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 10:00:00",-43.1842755,-22.8976967
"Fuzuê da Ilha","Ilha do Governador","Zona Norte 3",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 15:00:00,1899-12-31 19:00:00,"praca do grego rio de janeiro","Rua Uça, da Praça do Grego até a Rua Engenheiro Rozauro Zambrano, voltando ao local de concentração",500,2009,"Bloco: Fuzuê da Ilha - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 14:00:00",-43.2030433,-22.8170996
"Garganta Seca de Irajá","Irajá","Zona Norte 1",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 13:00:00,1899-12-31 15:00:00,1899-12-31 19:00:00,"rua manoel de araujo rio de janeiro","Rua Manoel de Araújo, Rua Hanibal Porto até a Estrada da Água Grande",700,2001,"Bloco: Garganta Seca de Irajá - Bairro: Irajá - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 13:00:00",NA,NA
"Gigantes da Lira (infantil)","Laranjeiras","Zona Sul",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 08:00:00,1899-12-31 09:00:00,1899-12-31 14:00:00,"praca jardim laranjeiras  rua general glicerio rio de janeiro","Rua General Glicério, Rua General Cristóvão Barcelos, retornando à Praça Jardim Laranjeiras",6000,1999,"Bloco: Gigantes da Lira (infantil) - Bairro: Laranjeiras - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 08:00:00",-43.1916784,-22.940896
"GRBC Deixa Que Eu Te Atravesso","Brás de Pina","Zona Norte 1",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 17:00:00,1899-12-31 20:00:00,"rua rio preto rio de janeiro","Rua Rio Preto, Rua Brasiléia, Rua Alm. Ingran Margini, Rua Dezoito de Setembro, Rua Valdemar Magrini, até Rua Rio Preto",1000,2016,"Bloco: GRBC Deixa Que Eu Te Atravesso - Bairro: Brás de Pina - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 14:00:00",-43.2437228,-22.8505036
"Incha Rola","Anil","Barra/JPA",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"rua araticum  rio de janeiro","Rua Araticum, Estrada de Jacarepaguá e Praça Jornalista Geysa Boscoli",1500,2001,"Bloco: Incha Rola - Bairro: Anil - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 14:00:00",-43.3299052,-22.960521
"Larga a Onça, Alfredo!","Laranjeiras","Zona Sul",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 15:00:00,1899-12-31 18:00:00,1899-12-31 20:00:00,"rua ipiranga  rio de janeiro","Rua Ipiranga, Rua Esteves Junior e Praça São Salvador",2000,2008,"Bloco: Larga a Onça, Alfredo! - Bairro: Laranjeiras - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 15:00:00",-43.1818871,-22.9347688
"Malandragem do Porto","Santo Cristo","Centro",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 22:00:00,"rua nabuco de freitas com marques de sapucai rio de janeiro","Parado",300,2015,"Bloco: Malandragem do Porto - Bairro: Santo Cristo - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 16:00:00",-43.196804,-22.9114522
"Morde e Pica Toda Hora","Jacarepaguá","Barra/JPA",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 15:00:00,1899-12-31 15:00:00,1899-12-31 21:00:00,"rua jorge faraj rio de janeiro","Parado",200,2012,"Bloco: Morde e Pica Toda Hora - Bairro: Jacarepaguá - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 15:00:00",-43.3927688,-22.9722321
"Onda Carioca","Recreio dos Bandeirantes","Barra/JPA",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 10:00:00,1899-12-31 11:00:00,1899-12-31 16:00:00,"praca dr  eurico alencastro massot rio de janeiro","Parado",700,2018,"Bloco: Onda Carioca - Bairro: Recreio dos Bandeirantes - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 10:00:00",-43.4824272,-23.0231132
"Pipoca e Guanará","Tijuca","Tijuca e Adj",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 20:00:00,"praca xavier de brito rio de janeiro","Parado",500,2013,"Bloco: Pipoca e Guanará - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 16:00:00",-43.2434892,-22.9319676
"Pipoca no Mel","Gamboa","Centro",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 17:00:00,1899-12-31 20:00:00,"praca coronel assumpcao  praca da harmonia  rio de janeiro","Rua Sacadura Cabral, Rua do Livramento, Rua Rivadavia Correa, Rua Pedro Ernesto e retorna para Praça da Harmonia",1000,2010,"Bloco: Pipoca no Mel - Bairro: Gamboa - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 14:00:00",-43.1916385,-22.8955242
"Quem Num Guenta Bebe Água","Laranjeiras","Zona Sul",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 12:00:00,1899-12-31 14:00:00,1899-12-31 18:00:00,"rua gago coutinho  rio de janeiro","PARADO",4000,2004,"Bloco: Quem Num Guenta Bebe Água - Bairro: Laranjeiras - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 12:00:00",-43.1811677,-22.931308
"Quem Vai Vai, Quem Não Vai Não Cagueta!","Ilha do Governador","Zona Norte 3",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 18:00:00,1899-12-31 18:00:00,1899-12-31 21:00:00,"praca jerusalem rio de janeiro","Praça Jerusalem, Praia da Bica até Quiosque do Mexicano",1000,2010,"Bloco: Quem Vai Vai, Quem Não Vai Não Cagueta! - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 18:00:00",-43.2011982,-22.8188248
"Se não quiser me dar, me empresta","Ipanema","Zona Sul",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 13:00:00,1899-12-31 14:00:00,1899-12-31 19:00:00,"praia de ipanema posto  rio de janeiro","Praia de Ipanema, do Posto 8 até o Quiosque da Rua Vinicius de Moraes",3000,2000,"Bloco: Se não quiser me dar, me empresta - Bairro: Ipanema - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 13:00:00",-43.2028707,-22.9869711
"Suvaco do Cristo","Jardim Botânico","Zona Sul",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 13:00:00,"rua jardim botanico rio de janeiro","Rua Jardim Botânico, da Rua Faro até a Praça Santos Dumont",35000,1986,"Bloco: Suvaco do Cristo - Bairro: Jardim Botânico - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 08:00:00",-43.2173173,-22.9640215
"Tá Pirando, Pirado, Pirou!","Urca","Zona Sul",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 13:00:00,1899-12-31 15:00:00,1899-12-31 19:00:00,"av  pasteur  rio de janeiro","Av. Pasteur, do Instituto Benjamim Constant até a Praca General Tibúrcio",3000,2005,"Bloco: Tá Pirando, Pirado, Pirou! - Bairro: Urca - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 13:00:00",-43.1734135,-22.9523708
"Tamo Junto in Folia","Padre Miguel","Zona Oeste",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua marechal marciano rio de janeiro","Parado",60000,2005,"Bloco: Tamo Junto in Folia - Bairro: Padre Miguel - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 16:00:00",-43.4471261,-22.8696894
"Timoneiros da Viola","Oswaldo Cruz","Zona Norte 1",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 13:00:00,1899-12-31 14:00:00,1899-12-31 19:00:00,"praca paulo da portela rio de janeiro","Parado",50000,2012,"Bloco: Timoneiros da Viola - Bairro: Oswaldo Cruz - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 13:00:00",-43.3443655,-22.867819
"Tira a Roupa Neném","Quintino Bocaiúva","Zona Norte 1",2018-02-04,"Domingo – 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"rua cupertino rio de janeiro","Avenida Dom Helder Camara, a partir da Rua da Pedreira a Rua Amália",4000,2013,"Bloco: Tira a Roupa Neném - Bairro: Quintino Bocaiúva - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 16:00:00",-43.321246,-22.8855708
"Toco Crú Pegando Fogo","Recreio dos Bandeirantes","Barra/JPA",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 12:00:00,1899-12-31 14:00:00,1899-12-31 18:00:00,"posto  do recreio rio de janeiro","Posto 10 do Recreio ao Posto 9.",10000,2018,"Bloco: Toco Crú Pegando Fogo - Bairro: Recreio dos Bandeirantes - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 12:00:00",-43.4829483,-23.0178436
"Unidos da Ribeira","Ilha do Governador","Zona Norte 3",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 13:00:00,1899-12-31 15:00:00,1899-12-31 19:00:00,"praca iaia garcia rio de janeiro","Praça Iaiá Garcia, Rua Fernandes da Fonseca,  Rua Paramopama e Praça Iaiá Garcia",2000,1974,"Bloco: Unidos da Ribeira - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 13:00:00",-43.1695189,-22.8258193
"Vai Tomar no Grajaú","Grajaú","Tijuca e Adj",2018-02-04,"Domingo -1 semana antes do Carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"av engenheiro richard  rio de janeiro","Av Engenheiro Richard, Praça Edmundo Rego, Av Engenheiro Richard",800,2009,"Bloco: Vai Tomar no Grajaú - Bairro: Grajaú - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 15:00:00",-43.2633667,-22.9221392
"Xodó da Piedade","Piedade","Zona Norte 2",2018-02-04,"Domingo - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 22:00:00,"rua mario carpenter rio de janeiro","PARADO",1500,1972,"Bloco: Xodó da Piedade - Bairro: Piedade - Regiao: Zona Norte 2Data: 2018-02-04 - Concentração 16:00:00",-43.2974783,-22.8882707
"Zona Mental","Bangu","Zona Oeste",2018-02-06,"Terça - antes do carnaval",1899-12-31 14:00:00,1899-12-31 15:00:00,1899-12-31 17:00:00,"praca de guilherme da silveira rio de janeiro","Rua Guilherme da Silveira, Rua Sidney, Rua Figueiredo Camargo (Ponto Chic), Rua Santana, Marechal Mariano, e Retorna para a praça Guilherme pela Rua Ribeiro Dantas",350,2015,"Bloco: Zona Mental - Bairro: Bangu - Regiao: Zona Norte 2Data: 2018-02-06 - Concentração 14:00:00",-43.4565175,-22.8745565
"Banda do Tio Marco","Piedade","Zona Norte 2",2018-02-07,"Quarta-feira antes do Carnaval",1899-12-31 19:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"largo da rua porto valter rio de janeiro","RUA PORTO VALTER, RUA PADRE NOBREGA, RUA ANTONIO VARGAS, RUA GONÇALO COELHO, RUA SOUZA CERQUEIRA, Av don Helder Camara, Padre Nobrega, Porto valter",3000,1990,"Bloco: Banda do Tio Marco - Bairro: Piedade - Regiao: Zona Norte 2Data: 2018-02-07 - Concentração 19:00:00",-43.3127868,-22.8831188
"Distribui Sem Juízo","Centro","Centro",2018-02-07,"Quarta-feira - 1 semana antes do Carnaval",1899-12-31 18:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"rua da quitanda entre a rua sete de setembro e a rua da assembleia rio de janeiro","Parado",1000,2017,"Bloco: Distribui Sem Juízo - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-07 - Concentração 18:00:00",-43.1757683,-22.9046925
"Regula Mas Libera","Centro","Centro",2018-02-07,"Quarta-feira - 1 semana antes do Carnaval",1899-12-31 18:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua teofilo otoni rio de janeiro","Parado",500,2014,"Bloco: Regula Mas Libera - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-07 - Concentração 18:00:00",NA,NA
"Banda da Rua do Mercado","Centro","Centro",2018-02-08,"Quinta-feira antes do Carnaval",1899-12-31 18:00:00,1899-12-31 19:00:00,1899-12-31 21:00:00,"rua do mercado rio de janeiro","Rua do Mercado, Simbolo Olimpico, Rua do Mercado",8000,1999,"Bloco: Banda da Rua do Mercado - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-08 - Concentração 18:00:00",-43.1748943,-22.901895
"Batuke Nuclear","Centro","Centro",2018-02-08,"Quinta-feira antes do Carnaval",1900-01-01 18:00:00,1900-01-01 18:00:00,1900-01-01 22:00:00,"rua da candelaria  rio de janeiro","Parado",500,2007,"Bloco: Batuke Nuclear - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-08 - Concentração 18:00:00",-43.1774508,-22.9002372
"Bloco dus Impussivi","Centro","Centro",2018-02-08,"Quinta-feira antes do Carnaval",1899-12-31 18:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"rua lelio gama rio de janeiro","Rua Lélio Gama, Av. chile, Rua Senador Dantas , Rua Lélio Gama",2000,2003,"Bloco: Bloco dus Impussivi - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-08 - Concentração 18:00:00",-43.1785443,-22.9095227
"Chroma Aqui Na Minha Mão","Centro","Centro",2018-02-08,"Quinta-feira – Semana pré carnaval",1900-01-01 18:00:00,1900-01-01 18:00:00,1900-01-01 22:00:00,"rua dos arcos  entre a fundicao e lavradio  rio de janeiro","Parado",100,2014,"Bloco: Chroma Aqui Na Minha Mão - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-08 - Concentração 18:00:00",NA,NA
"Loucura Suburbana","Engenho de Dentro","Zona Norte 2",2018-02-08,"Quinta-feira antes do Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 22:00:00,"instituto municipal nise da silveira rua ramiro magalhaes rio de janeiro","Rua Ramiro Magalhães, Rua Gustavo Riedel, Rua Pernambuco, Praça Rio Grande do Norte, Rua Ana Leonídia, Rua Gustavo Riedel e Rua Ramiro Magalhães",1000,2001,"Bloco: Loucura Suburbana - Bairro: Engenho de Dentro - Regiao: Zona Norte 2Data: 2018-02-08 - Concentração 16:00:00",-43.3007214,-22.9009736
"Banda do Jiló","Tijuca","Tijuca e Adj",2018-02-09,"Sexta-feira de Carnaval",1899-12-31 18:00:00,1899-12-31 21:00:00,1899-12-31 22:00:00,"rua pinto de figueiredo  rio de janeiro","Rua Pinto de Figueiredo, Avenida Maracanã, Rua Barão de Mesquita, Rua General Roca, Rua Conde de Bonfim e Rua Pinto de Figueiredo",1000,2004,"Bloco: Banda do Jiló - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-09 - Concentração 18:00:00",-43.236111,-22.9249203
"Banda do Lido","Copacabana","Zona Sul",2018-02-09,"Sexta-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 22:00:00,"rua ronald de carvalho entre a rua viveiros de castro e av  nossa senhora de copacabana rio de janeiro","Av. Nossa Senhora de Copacabana, Av. Prado Junior, Av. Atlântica, Av. Duvivier até a Rua Rolnald Carvalho",3000,1961,"Bloco: Banda do Lido - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-09 - Concentração 16:00:00",NA,NA
"Bloco da Sorveteria","Pedra de Guaratiba","Zona Oeste",2018-02-09,"Sexta-feira de Carnaval",1899-12-31 18:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"rua barros de alarcao  praca sao pedro rio de janeiro","Rua Barros de Alarcão N283 até 464",300,2015,"Bloco: Bloco da Sorveteria - Bairro: Pedra de Guaratiba - Regiao: Zona Norte 2Data: 2018-02-09 - Concentração 18:00:00",NA,NA
"Bloco das Piranhas do Jefinho","Pedra de Guaratiba","Zona Oeste",2018-02-09,"Sexta-feira de Carnaval",1899-12-31 18:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"rua barros de alarcao  praca sao pedro rio de janeiro","Rua Barros de Alarcão, da Praça São Pedro até a Rua Saião Lobato",700,1985,"Bloco: Bloco das Piranhas do Jefinho - Bairro: Pedra de Guaratiba - Regiao: Zona Norte 2Data: 2018-02-09 - Concentração 18:00:00",NA,NA
"Bloco do Rock","Ilha do Governador","Zona Norte 3",2018-02-09,"Sexta-feira de Carnaval",1899-12-31 19:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"praca iaia garcia rio de janeiro","Parado",1000,2014,"Bloco: Bloco do Rock - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-09 - Concentração 19:00:00",-43.1695189,-22.8258193
"Bloco dos Aposentados","Centro","Centro",2018-02-09,"Sexta-feira de Carnaval",1899-12-31 17:00:00,1899-12-31 19:00:00,1899-12-31 21:00:00,"buraco do lume rio de janeiro","Segue pelaGraça Aranha, Rua Santa Luzia, Rua México e Buraco do Leme",1200,1991,"Bloco: Bloco dos Aposentados - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-09 - Concentração 17:00:00",NA,NA
"Bloco Sinfônico","Centro","Centro",2018-02-09,"Sexta-feira de Carnaval",1899-12-31 17:00:00,1899-12-31 19:00:00,1899-12-31 21:00:00,"praca mercado municipal rio de janeiro","Parado",30000,2018,"Bloco: Bloco Sinfônico - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-09 - Concentração 17:00:00",-43.1735877,-22.9030884
"Boêmios da Lapa","Lapa","Centro",2018-02-09,"Domingo pós Carnaval",1899-12-31 17:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"praca cardeal camara  arcos da lapa  rio de janeiro","Parado",2000,2003,"Bloco: Boêmios da Lapa - Bairro: Lapa - Regiao: Zona Norte 2Data: 2018-02-09 - Concentração 17:00:00",-43.1799591,-22.9130414
